,index,Date,Close,High,Low,Open,Volume,3d-MA,10d-MA,50d-MA,100d-MA,RSI,MACD,Signal,Histogram,Middle Band,Upper Band,Lower Band
0,2,2017-11-09,1.990769982337952,2.1742300987243652,1.8939399719238281,2.0531399250030518,19192200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,2017-11-10,1.796839952468872,2.069469928741455,1.6447800397872925,2.007730007171631,11155000,1.990769982337952,1.990769982337952,1.990769982337952,1.990769982337952,0.0,-0.015470201812918027,-0.0030940403625836057,-0.012376161450334423,0.0,0.0,0.0
2,4,2017-11-11,1.6704699993133545,1.9177500009536743,1.6142899990081787,1.7862800359725952,8178150,1.893804967403412,1.893804967403412,1.893804967403412,1.893804967403412,0.0,-0.037495225686579925,-0.009974277427382869,-0.027520948259197056,0.0,0.0,0.0
3,5,2017-11-12,1.5196900367736816,1.6727999448776245,1.4625600576400757,1.6688899993896484,15298700,1.8193599780400593,1.8193599780400593,1.8193599780400593,1.8193599780400593,0.0,-0.06635203370259579,-0.021249828682425455,-0.04510220502017034,0.0,0.0,0.0
4,6,2017-11-13,1.686619997024536,1.7350200414657593,1.5176000595092773,1.5260100364685059,12238800,1.662333329518636,1.744442492723465,1.744442492723465,1.744442492723465,0.0,-0.07488814533384924,-0.03197749201271022,-0.042910653321139025,0.0,0.0,0.0
5,7,2017-11-14,1.592579960823059,1.7353700399398804,1.568269968032837,1.6892800331115723,7829600,1.625593344370524,1.732877993583679,1.732877993583679,1.732877993583679,0.0,-0.08822432519396517,-0.04322685864896121,-0.04499746654500396,0.0,0.0,0.0
6,8,2017-11-15,1.5304499864578247,1.6249799728393555,1.4954999685287476,1.5877699851989746,7615500,1.5996299982070923,1.709494988123576,1.709494988123576,1.709494988123576,0.0,-0.10262373101442845,-0.05510623312205466,-0.04751749789237379,0.0,0.0,0.0
7,9,2017-11-16,1.5779199600219729,1.6822199821472168,1.5368900299072266,1.556190013885498,8928640,1.6032166481018066,1.6839171307427543,1.6839171307427543,1.6839171307427543,0.0,-0.10894903704512227,-0.06587479390666819,-0.04307424313845408,0.0,0.0,0.0
8,10,2017-11-17,1.5103600025177002,1.5826599597930908,1.495300054550171,1.580049991607666,8508840,1.5669833024342854,1.6706674844026566,1.6706674844026566,1.6706674844026566,0.0,-0.11805257499492261,-0.07631035012431907,-0.04174222487060354,0.0,0.0,0.0
9,11,2017-11-18,1.6743299961090088,1.6767799854278564,1.49822998046875,1.5113600492477417,32167300,1.5395766496658325,1.6528555419709947,1.6528555419709947,1.6528555419709947,0.0,-0.11075942062358002,-0.08320016422417126,-0.02755925639940876,0.0,0.0,0.0
10,12,2017-11-19,1.6137700080871582,1.7012300491333008,1.5678000450134277,1.673359990119934,38081700,1.5875366528828938,1.6550029873847962,1.6550029873847962,1.6550029873847962,0.0,-0.10861419136431594,-0.0882829696522002,-0.020331221712115738,0.0,0.0,0.0
11,13,2017-11-20,1.6244499683380127,1.6606500148773193,1.555609941482544,1.6255899667739868,12994500,1.5994866689046223,1.6173029899597169,1.6512545347213745,1.6512545347213745,0.0,-0.10484372498602879,-0.09159512071896592,-0.013248604267062869,0.0,0.0,0.0
12,14,2017-11-21,1.5740599632263184,1.6596699953079224,1.549839973449707,1.6581699848175049,5440790,1.637516657511393,1.6000639915466308,1.6490208208560944,1.6490208208560944,0.0,-0.10471457110897586,-0.09421901079696791,-0.010495560312007948,0.0,0.0,0.0
13,15,2017-11-22,1.6117500066757202,1.6213699579238892,1.5582300424575806,1.5904899835586548,7177000,1.604093313217163,1.5904229879379272,1.6432546010384192,1.6432546010384192,34.62393405602383,-0.10041344057561763,-0.09545789675269786,-0.004955543822919767,0.0,0.0,0.0
