,index,Date,Close,High,Low,Open,Volume,3d-MA,10d-MA,50d-MA,100d-MA,RSI,MACD,Signal,Histogram,Middle Band,Upper Band,Lower Band
0,2,2014-09-17,457.3340148925781,468.17401123046875,452.4219970703125,465.864013671875,21056800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,2014-09-18,424.4400024414063,456.8599853515625,413.10400390625,456.8599853515625,34483200,457.3340148925781,457.3340148925781,457.3340148925781,457.3340148925781,0.0,-2.6240237852786663,-0.5248047570557333,-2.099219028222933,0.0,0.0,0.0
2,4,2014-09-19,394.7959899902344,427.8349914550781,384.5320129394531,424.1029968261719,37919700,440.8870086669922,440.8870086669922,440.8870086669922,440.8870086669922,0.0,-7.01474399736793,-1.8227926051181726,-5.1919513922497575,0.0,0.0,0.0
3,5,2014-09-20,408.9039916992188,423.2959899902344,389.88299560546875,394.6730041503906,36863600,425.52333577473956,425.52333577473956,425.52333577473956,425.52333577473956,0.0,-9.24940221526964,-3.3081145271484664,-5.941287688121173,0.0,0.0,0.0
4,6,2014-09-21,398.8210144042969,412.4259948730469,393.1809997558594,408.0849914550781,26580100,409.37999471028644,421.3684997558594,421.3684997558594,421.3684997558594,0.0,-11.69913658939987,-4.986318939598748,-6.7128176498011225,0.0,0.0,0.0
5,7,2014-09-22,402.1520080566406,406.9159851074219,397.1300048828125,399.1000061035156,24127600,400.84033203125,416.8590026855469,416.8590026855469,416.8590026855469,0.0,-13.21940036222776,-6.632935224124551,-6.586465138103208,0.0,0.0,0.0
6,8,2014-09-23,435.7909851074219,441.5570068359375,396.1969909667969,402.0920104980469,45099500,403.2923380533854,414.4078369140625,414.4078369140625,414.4078369140625,0.0,-11.576390614811487,-7.621626302261938,-3.954764312549549,0.0,0.0,0.0
7,9,2014-09-24,423.2049865722656,436.11199951171875,421.1319885253906,435.7510070800781,30627700,412.2546691894531,417.4625723702567,417.4625723702567,417.4625723702567,0.0,-11.161218865482908,-8.329544814906132,-2.831674050576776,0.0,0.0,0.0
8,10,2014-09-25,411.5740051269531,423.5199890136719,409.4679870605469,423.156005859375,26814400,420.3826599121094,418.1803741455078,418.1803741455078,418.1803741455078,0.0,-11.636576056199317,-8.990951063164768,-2.6456249930345486,0.0,0.0,0.0
9,11,2014-09-26,404.4249877929688,414.93798828125,400.0090026855469,411.4289855957031,21460800,423.5233256022135,417.44633314344617,417.44633314344617,417.44633314344617,0.0,-12.446688331338294,-9.682098516799474,-2.7645898145388195,0.0,0.0,0.0
10,12,2014-09-27,399.5199890136719,406.62298583984375,397.37200927734375,403.5559997558594,15029300,413.0679931640625,416.1441986083984,416.1441986083984,416.1441986083984,0.0,-13.33083103264363,-10.411845019968306,-2.918986012675324,0.0,0.0,0.0
11,13,2014-09-28,377.1809997558594,401.0169982910156,374.3320007324219,399.47100830078125,23613300,405.17299397786456,410.3627960205078,414.6329068270597,414.6329068270597,0.0,-15.653644758988719,-11.46020496777239,-4.1934397912163295,0.0,0.0,0.0
12,14,2014-09-29,375.4670104980469,385.21099853515625,372.239990234375,376.9280090332031,32497700,393.70865885416663,405.63689575195315,411.5119145711263,411.5119145711263,0.0,-17.431852436845418,-12.654534461586994,-4.777317975258423,0.0,0.0,0.0
13,15,2014-09-30,386.9440002441406,390.97698974609375,373.4429931640625,376.0880126953125,34707300,384.0559997558594,403.70399780273436,408.73922964242786,408.73922964242786,31.997433088432956,-17.71083815984423,-13.665795201238442,-4.045042958605787,0.0,0.0,0.0
14,16,2014-10-01,383.614990234375,391.3789978027344,380.7799987792969,387.427001953125,26229400,379.86400349934894,401.50799865722655,407.1824275425502,407.1824275425502,31.461697343776365,-17.993145856307876,-14.531265332252328,-3.461880524055548,0.0,0.0,0.0
15,17,2014-10-02,375.0719909667969,385.49700927734375,372.9460144042969,383.9880065917969,21777700,382.0086669921875,399.9873962402344,405.61126505533855,405.61126505533855,35.852649147070125,-18.69076982381347,-15.363166230564557,-3.327603593248911,0.0,0.0,0.0
16,18,2014-10-03,359.5119934082031,377.69500732421875,357.8590087890625,375.1809997558594,30901200,381.87699381510413,397.27939453125,403.7025604248047,403.7025604248047,39.000831083749965,-20.26559444891143,-16.34365187423393,-3.921942574677498,0.0,0.0,0.0
17,19,2014-10-04,328.8659973144531,364.48699951171875,325.885986328125,359.8919982910156,47236500,372.7329915364583,389.6514953613281,401.10311530618105,401.10311530618105,27.381696723099907,-23.713179305695803,-17.817557360526305,-5.8956219451694984,0.0,0.0,0.0
18,20,2014-10-05,320.510009765625,341.8009948730469,289.2959899902344,328.9159851074219,83308096,354.4833272298177,380.21759643554685,397.0899420844184,397.0899420844184,27.65159729425382,-26.81061739618042,-19.61616936765713,-7.19444802852329,0.0,0.0,0.0
19,21,2014-10-06,330.0790100097656,345.1340026855469,302.55999755859375,320.3890075683594,79011800,336.2960001627604,371.11119689941404,393.0594193307977,393.0594193307977,30.13893481514323,-28.16851197869505,-21.326637889864713,-6.8418740888303375,389.91039886474607,461.0277318534611,318.79306587603105
20,22,2014-10-07,336.18701171875,339.24700927734375,320.48199462890625,330.5840148925781,49199900,326.48500569661456,363.6765991210938,389.91039886474607,389.91039886474607,17.642548549219,-28.42413281751317,-22.746136875394406,-5.677995942118763,383.85304870605466,451.3346407434814,316.37145666862796
21,23,2014-10-08,352.94000244140625,354.364013671875,327.18798828125,336.1159973144531,54736300,328.9253438313802,357.3433013916016,387.3521423339844,387.3521423339844,27.775350675520585,-26.96406290062015,-23.589722080439554,-3.3743408201805956,380.2780487060547,446.26542887018627,314.2906685419231
22,24,2014-10-09,365.0260009765625,382.72601318359375,347.68701171875,352.74798583984375,83641104,339.73534138997394,354.91920166015626,385.787954157049,385.787954157049,35.319233062186115,-24.54872547118299,-23.781522758588242,-0.7672027125947487,378.78954925537107,444.7410942241703,312.83800428657185
23,25,2014-10-10,361.56201171875,375.0669860839844,352.9630126953125,364.68701171875,43665700,351.38433837890625,353.87510070800784,384.8852605405061,384.8852605405061,36.15974490007074,-22.65293915847309,-23.555806038565212,0.9028668800921231,376.42245025634764,441.2111352664605,311.6337652462348
24,26,2014-10-11,362.2990112304688,367.1910095214844,355.95098876953125,361.36199951171875,13345200,359.84267171223956,351.33690185546874,383.9134585062663,383.9134585062663,37.649075556864375,-20.850691355176025,-23.014783101887378,2.164091746711353,374.5963500976562,438.7828515783941,310.40984861691834
25,27,2014-10-12,378.5490112304688,379.4330139160156,356.1440124511719,362.6059875488281,17552800,362.96234130859375,349.20530395507814,383.0488806152344,383.0488806152344,50.47305935070767,-17.904762832875804,-21.992779048085062,4.088016215209258,373.4162002563477,436.32467561224894,310.5077249004464
26,28,2014-10-13,390.41400146484375,397.22601318359375,368.8970031738281,377.9209899902344,35221400,367.47001139322913,349.5530059814453,382.8758087158203,382.8758087158203,54.8296193540155,-14.44616134704512,-20.483455507877075,6.037294160831955,371.14735107421876,427.51712688509474,314.7775752633428
27,29,2014-10-14,400.8699951171875,411.697998046875,391.3240051269531,391.6919860839844,38491500,377.08734130859375,352.64320678710936,383.15500103985823,383.15500103985823,54.529605069204656,-10.737705859132745,-18.534305578128212,7.796599718995466,370.03060150146484,422.8298554469368,317.2313475559929
28,30,2014-10-15,394.7730102539063,402.22698974609375,388.7659912109375,400.9549865722656,25267100,389.9443359375,359.84360656738284,383.78767939976285,383.78767939976285,53.56509204030843,-8.196222934800687,-16.46668904946271,8.270466114662021,369.1905517578125,419.6913792994198,318.6897242162052
29,31,2014-10-16,382.5559997558594,398.8070068359375,373.07000732421875,394.51800537109375,26990000,395.35233561197913,367.26990661621096,384.1664839119747,384.1664839119747,52.33635884862235,-7.086204695526533,-14.590592178675474,7.504387483148941,368.097102355957,416.279522390706,319.91468232120803
30,32,2014-10-17,383.7579956054688,385.4779968261719,375.3890075683594,382.7560119628906,13600700,392.7330017089844,372.5176055908203,384.11280110677086,384.11280110677086,58.31447690334131,-6.039892107573394,-12.880452164455058,6.840560056881664,367.3090026855469,413.8137513996811,320.80425397141266
31,33,2014-10-18,391.4419860839844,395.1579895019531,378.97100830078125,383.97601318359375,11416800,387.02900187174475,377.2747039794922,384.1013557680192,384.1013557680192,75.4697107083856,-4.538332952257633,-11.212028322015573,6.67369536975794,368.0220520019531,415.5893143543495,320.45478964955674
32,34,2014-10-19,389.5459899902344,393.9389953613281,386.4570007324219,391.2539978027344,5914570,385.9186604817708,381.12490234375,384.33075046539307,384.33075046539307,79.65872234847859,-3.461426374206667,-9.661907932453794,6.200481558247127,368.7260009765625,417.16587742240614,320.28612453071884
33,35,2014-10-20,382.8450012207031,390.0840148925781,378.25201416015625,389.2309875488281,16419000,388.2486572265625,383.5769012451172,384.4887880267519,384.4887880267519,73.2416679884614,-3.1128015055059564,-8.352086647064226,5.23928514155827,368.52105102539065,416.67019065557173,320.37191139520957
34,36,2014-10-21,386.4750061035156,392.64599609375,380.8340148925781,382.4209899902344,14188900,387.94432576497394,385.7052001953125,384.44044135598574,384.44044135598574,72.64451114486748,-2.5146158028464924,-7.184592478220679,4.669976675374187,368.66405181884767,417.0184928415074,320.30961079618794
35,37,2014-10-22,383.1579895019531,388.57598876953125,382.2489929199219,386.1180114746094,11641300,386.2886657714844,388.1227996826172,384.4985717773437,384.4985717773437,65.48021540725297,-2.281900513390724,-6.204054085254688,3.922153571863964,369.06835174560547,417.78226463610116,320.3544388551098
36,38,2014-10-23,358.4169921875,385.0480041503906,356.4469909667969,382.9620056152344,26456900,384.1593322753906,388.5836975097656,384.4613333808051,384.4613333808051,47.00290625259487,-4.0472099668116925,-5.77268526156609,1.7254752947543972,369.0136016845703,417.77517573329254,320.25202763584804
37,39,2014-10-24,358.3450012207031,364.3450012207031,353.30499267578125,358.59100341796875,15585700,376.01666259765625,385.3839965820313,383.75743226747255,383.75743226747255,48.49482444639839,-5.389907992150256,-5.696129807682923,0.30622181553266703,370.4875518798828,415.7995023385487,325.1756014212169
38,40,2014-10-25,347.27099609375,359.8609924316406,342.87701416015625,358.6109924316406,18127500,366.6399943033854,381.1314971923828,383.08868408203125,383.08868408203125,43.588838252778146,-7.263852347005582,-6.009674315547455,-1.2541780314581263,371.8256011962891,412.2392968570849,331.41190553549325
39,41,2014-10-26,354.7040100097656,359.22100830078125,343.9309997558594,347.48699951171875,11272500,354.6776631673177,376.3812957763672,382.17028182592145,382.17028182592145,38.99985893518871,-8.056316445435016,-6.4190027415249675,-1.6373137039100483,373.0568511962891,409.41202534013655,336.7016770524416
40,42,2014-10-27,352.989013671875,358.6319885253906,349.8089904785156,354.7770080566406,13033000,353.44000244140625,373.5960968017578,381.4836250305176,381.4836250305176,30.95129364603021,-8.722191826481492,-6.879640558516273,-1.8425512679652183,373.89695129394534,407.3233399860051,340.47056260188555
41,43,2014-10-28,357.6180114746094,359.9840087890625,352.6789855957031,353.2149963378906,7845880,351.6546732584635,370.5191986083984,380.7886345095751,380.7886345095751,26.597270498096947,-8.775226082906784,-7.258757663394375,-1.5164684195124085,374.13085174560547,407.0006184580597,341.26108503315123
42,44,2014-10-29,335.59100341796875,357.8330078125,335.3429870605469,357.0889892578125,18192700,355.10367838541663,367.1368011474609,380.23695300874255,380.23695300874255,22.686407400521674,-10.473914805901813,-7.901789091895862,-2.572125714005951,372.65910186767576,409.62595209652414,335.6922516388274
43,45,2014-10-30,345.30499267578125,350.9129943847656,335.0719909667969,335.7090148925781,30177900,348.732676188151,361.7413024902344,379.1986751112827,379.1986751112827,32.401374740088016,-10.910530305563611,-8.503537334629414,-2.4069929709341977,371.8462509155273,410.5162186499212,333.17628318113344
44,46,2014-10-31,338.3210144042969,348.0450134277344,337.1419982910156,345.0090026855469,12545400,346.17133585611975,357.9873016357422,378.4283641468395,378.4283641468395,29.646025320816435,-11.68539792033937,-9.139909451771405,-2.5454884685679637,370.64735107421876,411.960111694155,329.33459045428253
