,index,Date,Close,High,Low,Open,Volume,3d-MA,10d-MA,50d-MA,100d-MA,RSI,MACD,Signal,Histogram,Middle Band,Upper Band,Lower Band
0,2,2017-11-09,320.8840026855469,329.4519958496094,307.0559997558594,308.6449890136719,893249984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,2017-11-10,299.25299072265625,324.7179870605469,294.5419921875,320.6709899902344,885985984,320.8840026855469,320.8840026855469,320.8840026855469,320.8840026855469,0.0,-1.725550811854589,-0.34511016237091785,-1.3804406494836712,0.0,0.0,0.0
2,4,2017-11-11,314.6809997558594,319.4530029296875,298.1919860839844,298.58599853515625,842300992,310.06849670410156,310.06849670410156,310.06849670410156,310.06849670410156,0.0,-1.8270893220623066,-0.6415059943091956,-1.185583327753111,0.0,0.0,0.0
3,5,2017-11-12,307.9079895019531,319.15301513671875,298.51300048828125,314.69000244140625,1613479936,311.60599772135413,311.6059977213542,311.6059977213542,311.6059977213542,0.0,-2.4261178694362115,-0.9984283693345989,-1.4276895001016126,0.0,0.0,0.0
4,6,2017-11-13,316.71600341796875,328.4150085449219,307.0249938964844,307.0249938964844,1041889984,307.28065999348956,310.6814956665039,310.6814956665039,310.6814956665039,0.0,-2.1651605742841866,-1.2317748103245165,-0.9333857639596701,0.0,0.0,0.0
5,7,2017-11-14,337.6310119628906,340.177001953125,316.76300048828125,316.76300048828125,1069680000,313.1016642252604,311.8883972167969,311.8883972167969,311.8883972167969,0.0,-0.267598928353209,-1.038939633930255,0.771340705577046,0.0,0.0,0.0
6,8,2017-11-15,333.35699462890625,340.9119873046875,329.81298828125,337.9639892578125,722665984,320.7516682942708,316.1788330078125,316.1788330078125,316.1788330078125,0.0,0.8811969776093065,-0.6549123116223428,1.5361092892316492,0.0,0.0,0.0
7,9,2017-11-16,330.92401123046875,336.15899658203125,323.6059875488281,333.4429931640625,797254016,329.2346700032552,318.6328560965402,318.6328560965402,318.6328560965402,0.0,1.5771244735438472,-0.20850495458910479,1.785629428132952,0.0,0.0,0.0
8,10,2017-11-17,332.3940124511719,334.9639892578125,327.52301025390625,330.1669921875,621732992,333.9706726074219,320.16925048828125,320.16925048828125,320.16925048828125,0.0,2.2216589398330484,0.27752782429532585,1.9441311155377226,0.0,0.0,0.0
9,11,2017-11-18,347.61199951171875,349.6159973144531,327.68701171875,331.9800109863281,649638976,332.2250061035156,321.5275573730469,321.5275573730469,321.5275573730469,0.0,3.9152885129541914,1.005079962027099,2.9102085509270923,0.0,0.0,0.0
10,12,2017-11-19,354.385986328125,371.2909851074219,344.739990234375,347.4010009765625,1181529984,336.97667439778644,324.13600158691406,324.13600158691406,324.13600158691406,0.0,5.737962613854052,1.9516564923924895,3.7863061214615623,0.0,0.0,0.0
11,13,2017-11-20,366.7300109863281,372.1369934082031,353.28900146484375,354.093994140625,807027008,344.7973327636719,327.4861999511719,326.88600019975144,326.88600019975144,0.0,8.085302265482937,3.178385647010579,4.9069166184723585,0.0,0.0,0.0
12,14,2017-11-21,360.4010009765625,372.4700012207031,350.6929931640625,367.4429931640625,949912000,356.24266560872394,334.23390197753906,330.2063344319661,330.2063344319661,0.0,9.32736754999172,4.4081820276068076,4.919185522384913,0.0,0.0,0.0
13,15,2017-11-22,380.6520080566406,381.4200134277344,360.1470031738281,360.31201171875,800819008,360.5056660970052,338.8059020996094,332.5290010892428,332.5290010892428,70.94946143715455,11.809665787262759,5.888478779537998,5.921187007724761,0.0,0.0,0.0
14,16,2017-11-23,410.1659851074219,425.5480041503906,376.0880126953125,381.4389953613281,1845680000,369.26100667317706,346.08030395507814,335.96635872977123,335.96635872977123,75.92963527177444,15.974294589320778,7.9056419414945545,8.068652647826223,0.0,0.0,0.0
15,17,2017-11-24,474.9110107421875,480.9729919433594,402.75799560546875,412.5010070800781,2292829952,383.73966471354163,355.42530212402346,340.9130004882812,340.9130004882812,90.79831690946881,24.219982509497754,11.168510055095194,13.05147245440256,0.0,0.0,0.0
16,18,2017-11-25,466.2760009765625,485.1919860839844,461.0530090332031,475.6759948730469,1422080000,421.90966796875,369.15330200195314,349.2878761291504,349.2878761291504,86.3566707111232,29.715435428509636,14.877895129778082,14.837540298731554,0.0,0.0,0.0
17,19,2017-11-26,471.3299865722656,472.7229919433594,451.6059875488281,465.9739990234375,1197779968,450.45099894205725,382.44520263671876,356.16953053193936,356.16953053193936,89.51896049795403,34.085519211113365,18.71941994604514,15.366099265068225,0.0,0.0,0.0
18,20,2017-11-27,480.3550109863281,493.4049987792969,468.4849853515625,471.531005859375,1396480000,470.8389994303385,396.4858001708984,362.5673336452908,362.5673336452908,89.52994940547937,37.84088002867844,22.5437119625718,15.297168066106643,0.0,0.0,0.0
19,21,2017-11-28,472.9020080566406,482.4800109863281,466.34698486328125,480.51800537109375,1346499968,472.6536661783854,411.2819000244141,368.76668508429276,368.76668508429276,84.95030618655807,39.757337643163964,25.98643709869023,13.770900544473733,373.9734512329102,502.17804443286997,245.7688580329504
20,22,2017-11-29,427.5230102539063,522.3070068359375,425.0710144042969,473.281005859375,2675940096,474.8623352050781,423.81090087890624,373.9734512329102,373.9734512329102,70.06742835737032,37.18578366861783,28.22630641267575,8.95947725594208,379.30540161132814,507.0827210599161,251.5280821627402
21,23,2017-11-30,447.114013671875,465.49700927734375,401.2430114746094,431.2149963378906,1903040000,460.260009765625,431.1246032714844,376.52343023390995,376.52343023390995,73.07352836725133,36.31007887667613,29.843060905475827,6.467017971200303,386.6984527587891,512.061026928003,261.3358785895752
22,24,2017-12-01,466.5400085449219,472.6090087890625,428.31201171875,445.2090148925781,1247879936,449.17967732747394,439.1630035400391,379.7320931174538,379.7320931174538,74.86597691807103,36.759847318712104,31.226418188123084,5.53342913058902,394.29140319824216,519.6834484650154,268.8993579314689
23,25,2017-12-02,463.4490051269531,476.239013671875,456.65301513671875,466.85101318359375,943649984,447.0590108235677,449.776904296875,383.50635030995244,383.50635030995244,72.48292611212905,36.44673859102534,32.27048226870353,4.176256322321805,402.0684539794922,524.1521726168096,279.9847353421748
24,26,2017-12-03,465.8529968261719,482.8139953613281,451.85198974609375,463.7049865722656,990556992,459.03434244791663,458.0566040039063,386.8372942606608,386.8372942606608,72.00808415990788,35.97784945455851,33.01195570587453,2.965893748683982,409.52530364990236,527.8178919674965,291.2327153323082
25,27,2017-12-04,470.2040100097656,474.7770080566406,453.31201171875,466.0539855957031,1005550016,465.2806701660156,463.62530517578125,389.99792236328125,389.99792236328125,71.09578452141089,35.54757155938478,33.51907887657658,2.0284926828081993,416.1539535522461,532.32237428102,299.9855328234722
26,28,2017-12-05,463.281005859375,473.5580139160156,457.6600036621094,470.29400634765625,1216720000,466.5020039876302,463.15460510253905,393.08277188814606,393.08277188814606,70.9240056049392,34.2530962784125,33.66588235694377,0.5872139214687309,422.65015411376953,533.7436136748432,311.55669455269583
27,29,2017-12-06,428.5880126953125,462.7080078125,420.2099914550781,462.60400390625,1998259968,466.4460042317708,462.8551055908203,395.682706479673,395.682706479673,59.208403061231074,30.08102534970942,32.9489109554969,-2.867885605787478,427.5333541870117,529.8928904091033,325.1738179649201
28,30,2017-12-07,434.4079895019531,441.3970031738281,414.4110107421875,426.3689880371094,2129570048,454.0243428548177,458.580908203125,396.85789598737443,396.85789598737443,55.12320927401994,26.9337767565292,31.74588411570336,-4.812107359174163,432.6340530395508,524.6791544595173,340.58895161958424
29,31,2017-12-08,456.031005859375,466.06201171875,422.36700439453125,434.989013671875,2336379904,442.0923360188802,453.9862060546875,398.152726798222,398.152726798222,45.12063928726914,25.885959058116498,30.57389910418599,-4.687940046069492,438.0550033569336,521.3734944763781,354.736512237489
30,32,2017-12-09,473.50201416015625,504.1470031738281,456.25299072265625,457.343994140625,2003849984,439.6756693522135,452.2991058349609,400.0820027669271,400.0820027669271,51.78592924708611,26.163721249358446,29.691863533220484,-3.5281422838620387,444.0108047485352,518.7326282801721,369.28898121689826
31,33,2017-12-10,441.7210083007813,472.78900146484375,429.5140075683594,472.78900146484375,1404179968,454.6470031738281,456.8970062255859,402.4503902312248,402.4503902312248,43.53603364420181,23.547942199591034,28.463079266494596,-4.9151370669035614,447.76035461425784,513.0897329187376,382.43097630977803
32,34,2017-12-11,515.135986328125,516.968994140625,439.10400390625,440.3580017089844,1771440000,457.0846761067708,456.3577056884766,403.67759704589844,403.67759704589844,55.92680423833252,27.086655525178458,28.18779451823137,-1.1011389930529134,455.4971038818359,513.5049612935168,397.4892464701551
